,Book_Name,Author,Rating,Score,Votes,Average_Rating
719,"A Breath of Snow and Ashes (Outlander, #6)",Diana Gabaldon,177836,12746,165,4.44
720,Possession,A.S. Byatt,80218,12691,173,3.89
721,"Simon vs. the Homo Sapiens Agenda (Simonverse, #1)",Becky Albertalli,434209,12684,143,4.16
722,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,210734,12681,177,4.16
723,House of Sand and Fog,Andre Dubus III,133002,12679,181,3.86
724,Of Monsters And Planes,Johnathon Nicolaou,217,12671,134,4.61
725,The Blind Assassin,Margaret Atwood,155499,12654,175,3.96
726,"Pretties (Uglies, #2)",Scott Westerfeld,261715,12636,172,3.84
727,Grimm's Fairy Tales,Jacob Grimm,27852,12631,213,4.12
728,"One for the Money (Stephanie Plum, #1)",Janet Evanovich,551024,12602,172,4.05
729,Papillon,Henri Charrière,69860,12591,175,4.23
730,"Lover Unbound (Black Dagger Brotherhood, #5)",J.R. Ward,134714,12546,165,4.31
731,"Kingdom of Ash (Throne of Glass, #7)",Sarah J. Maas,538256,12538,141,4.69
732,The Sirens of Titan,Kurt Vonnegut Jr.,141480,12452,154,4.15
733,Veronika Decides to Die,Paulo Coelho,221331,12287,152,3.73
734,The Agony and the Ecstasy,Irving Stone,90505,12276,163,4.09
735,Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown,92613,12217,193,4.25
736,Cosmos,Carl Sagan,146288,12172,163,4.39
737,Geek Love,Katherine Dunn,67530,12107,149,3.96
738,"Death on the Nile (Hercule Poirot, #18)",Agatha Christie,259265,12062,190,4.12
739,Normal People,Sally Rooney,1386169,12028,130,3.81
740,Sharp Objects,Gillian Flynn,1041290,12016,143,4.02
741,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,851267,11989,159,4.01
742,How to Win Friends and Influence People,Dale Carnegie,980012,11941,166,4.22
743,A Heartbreaking Work of Staggering Genius,Dave Eggers,180514,11919,153,3.69
744,Corelli’s Mandolin,Louis de Bernières,86751,11887,161,4.02
745,"Odd Thomas (Odd Thomas, #1)",Dean Koontz,268683,11884,163,3.99
746,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,705099,11880,170,3.84
747,Prodigal Summer,Barbara Kingsolver,114438,11869,163,4.03
748,The Iliad,Homer,454941,11860,156,3.91
749,Under the Dome,Stephen King,300028,11829,164,3.92
750,Jitterbug Perfume,Tom Robbins,76628,11800,149,4.23
751,Anthem,Ayn Rand,155695,11737,155,3.62
752,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,426851,11733,136,4.53
753,The Aeneid,Virgil,130261,11731,171,3.86
754,The Trigger: Hunting the Assassin Who Brought the World to War,Tim Butcher,3887,11723,121,3.8
755,Howl and Other Poems,Allen Ginsberg,111485,11714,165,4.13
756,The Witch of Blackbird Pond,Elizabeth George Speare,152309,11714,169,4.02
757,"Tempted (House of Night, #6)",P.C. Cast,167324,11696,161,3.95
758,The Book of Mormon: Another Testament of Jesus Christ,Joseph Smith Jr.,86569,11660,128,4.24
759,"The Death Cure (The Maze Runner, #3)",James Dashner,449094,11658,152,3.78
760,"I'd Tell You I Love You, But Then I'd Have to Kill You (Gallagher Girls, #1)",Ally Carter,189028,11653,146,3.84
761,The Elegance of the Hedgehog,Muriel Barbery,184470,11651,148,3.8
762,"The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency, #1)",Alexander McCall Smith,265161,11620,179,3.81
763,"The Murder of Roger Ackroyd (Hercule Poirot, #4)",Agatha Christie,274321,11605,162,4.27
764,"The Alienist (Dr. Laszlo Kreizler, #1)",Caleb Carr,173101,11603,165,4.06
765,"The Big Sleep (Philip Marlowe, #1)",Raymond Chandler,155411,11557,158,3.95
766,"Prodigy (Legend, #2)",Marie Lu,262876,11547,142,4.23
767,"Love Story (Love Story, #1)",Erich Segal,60601,11519,179,3.64
768,"A ​Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,1086513,11427,130,4.47
769,"Caraval (Caraval, #1)",Stephanie Garber,519903,11396,124,3.99
770,Mistress Suffragette,Diana   Forbes,4568,11360,127,4.29
771,Message in a Bottle,Nicholas Sparks,238312,11351,164,3.97
772,Ivanhoe,Walter Scott,94798,11315,172,3.76
773,"Ender's Shadow (The Shadow Series, #1)",Orson Scott Card,172074,11302,144,4.32
774,Educated,Tara Westover,1526188,11266,128,4.47
775,"Rubinrot (Edelstein-Trilogie, #1)",Kerstin Gier,154294,11228,131,4.13
776,The Story of My Life,Helen Keller,147396,11203,189,4.08
777,The Magic Mountain,Thomas Mann,49459,11196,143,4.13
778,"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,203782,11190,187,4.18
779,It's Kind of a Funny Story,Ned Vizzini,251324,11189,129,4.08
780,"A Canticle for Leibowitz (St. Leibowitz, #1)",Walter M. Miller Jr.,109570,11173,149,3.98
781,"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella,751600,11140,147,3.69
782,Song of Solomon,Toni Morrison,112939,11108,158,4.14
783,Swan Song,Robert McCammon,68125,11103,126,4.29
784,Walk Two Moons,Sharon Creech,167592,11051,142,3.99
785,"Princess Academy (Princess Academy, #1)",Shannon Hale,116606,11047,152,4.03
786,The Corrections,Jonathan Franzen,182778,11034,150,3.83
787,"Fablehaven (Fablehaven, #1)",Brandon Mull,165131,11015,137,4.13
788,"One of Us Is Lying (One of Us is Lying, #1)",Karen M. McManus,846134,11012,122,3.94
789,"Club Dead (Sookie Stackhouse, #3)",Charlaine Harris,236308,11006,160,4.02
790,Hard-Boiled Wonderland and the End of the World,Haruki Murakami,136488,11004,134,4.13
791,"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,387649,10996,153,4.0
792,"Antigone (The Theban Plays, #3)",Sophocles,153644,10966,168,3.67
793,Digital Fortress,Dan       Brown,636446,10963,142,3.69
794,Angle of Repose,Wallace Stegner,59189,10905,140,4.24
795,The Invention of Hugo Cabret,Brian Selznick,183130,10899,144,4.22
796,The Shell Seekers,Rosamunde Pilcher,110903,10888,166,4.19
797,"Lover Revealed (Black Dagger Brotherhood, #4)",J.R. Ward,137185,10884,145,4.29
798,Ficciones,Jorge Luis Borges,67805,10867,132,4.42
799,Around the World in Eighty Days,Jules Verne,247859,10839,173,3.94
800,"House of Earth and Blood (Crescent City, #1)",Sarah J. Maas,669081,10835,123,4.49
801,The Power of Myth,Joseph Campbell,51194,10818,152,4.26
802,"Glass Houses (The Morganville Vampires, #1)",Rachel Caine,100851,10769,139,3.92
803,The Jungle Books,Rudyard Kipling,87464,10763,180,4.01
804,Orlando,Virginia Woolf,93163,10731,146,3.87
805,Archer's Voice,Mia Sheridan,449152,10719,122,4.23
806,"Small Gods (Discworld, #13)",Terry Pratchett,121493,10706,136,4.32
807,"The Edge of Never (The Edge of Never, #1)",J.A. Redmerski,148645,10700,125,4.22
808,Because of Winn-Dixie,Kate DiCamillo,257115,10692,154,4.09
809,Tales of Old: Greek Mythology: Volume 1,Johnathon Nicolaou,183,10690,115,4.34
810,"Living Dead in Dallas (Sookie Stackhouse, #2)",Charlaine Harris,252926,10667,150,3.96
811,"An Ember in the Ashes (An Ember in the Ashes, #1)",Sabaa Tahir,293078,10666,121,4.25
812,"The Passage (The Passage, #1)",Justin Cronin,212001,10646,131,4.04
813,Naked Lunch,William S. Burroughs,91253,10637,132,3.46
814,"Lover Avenged (Black Dagger Brotherhood, #7)",J.R. Ward,115620,10636,142,4.36
815,One Day,David Nicholls,341544,10604,130,3.83
816,"Cryptonomicon (Crypto, #1)",Neal Stephenson,112214,10579,127,4.24
817,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,204135,10497,138,4.18
818,Chasing the Devil: The Search for Africa's Fighting Spirit,Tim Butcher,1871,10485,107,4.13
819,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,740427,10465,150,4.16
820,Jude the Obscure,Thomas Hardy,71806,10446,155,3.83
821,"Mary Poppins (Mary Poppins, #1)",P.L. Travers,133491,10439,191,4.01
822,My Name Is Asher Lev,Chaim Potok,41389,10379,141,4.23
823,An Abundance of Katherines,John Green,528882,10368,128,3.52
824,The Moon Is a Harsh Mistress,Robert A. Heinlein,130497,10346,132,4.16
825,Still Alice,Lisa Genova,341688,10330,132,4.32
826,The Portrait of a Lady,Henry James,80535,10318,152,3.79
827,Howards End,E.M. Forster,89648,10317,157,3.96
828,"The House in the Cerulean Sea (The House in the Cerulean Sea, #1)",T.J. Klune,627611,10315,116,4.41
829,If We Were Villains,M.L. Rio,272658,10305,111,4.17
830,"Fire (Graceling Realm, #2)",Kristin Cashore,185883,10249,139,4.1
831,"Mort (Discworld, #4; Death, #1)",Terry Pratchett,246140,10232,136,4.24
832,Holy Bible: New International Version,Anonymous,87990,10182,129,4.61
833,Choke,Chuck Palahniuk,210464,10164,133,3.71
834,The Namesake,Jhumpa Lahiri,269659,10162,143,4.01
835,"A Darker Shade of Magic (Shades of Magic, #1)",V.E.  Schwab,361758,10135,115,4.06
836,"Worm Holes (Quantum Roots, #2)",Kyle Keyes,2100,10073,112,4.33
837,Meditations,Marcus Aurelius,247917,10064,126,4.28
838,Starship Troopers,Robert A. Heinlein,228030,10055,132,4.01
839,Wild Swans: Three Daughters of China,Jung Chang,112987,10045,136,4.28
840,Let the Right One In,John Ajvide Lindqvist,111148,10014,123,4.04
841,"The Eden Paradox (Eden Paradox, #1)",Barry Kirwan,15787,10002,110,4.24
842,"The Restaurant at the End of the Universe (The Hitchhiker's Guide to the Galaxy, #2)",Douglas Adams,287664,9956,143,4.21
843,I Am the Messenger,Markus Zusak,160816,9918,117,4.03
844,"Finale (Hush, Hush, #4)",Becca Fitzpatrick,175242,9900,126,4.12
845,"Linger (The Wolves of Mercy Falls, #2)",Maggie Stiefvater,169644,9883,134,3.88
846,The Forgotten Garden,Kate Morton,222819,9782,125,4.15
847,Ethan Frome,Edith Wharton,127288,9772,143,3.44
848,Tender Is the Night,F. Scott Fitzgerald,136573,9770,142,3.79
849,"The Assassin's Blade (Throne of Glass, #0.1-0.5)",Sarah J. Maas,578142,9753,120,4.24
850,Pale Fire,Vladimir Nabokov,50752,9741,125,4.17
851,Survivor,Chuck Palahniuk,118329,9736,122,3.93
852,Shutter Island,Dennis Lehane,194990,9732,130,4.12
853,Mystic River,Dennis Lehane,145118,9655,139,4.17
854,"Winter (The Lunar Chronicles, #4)",Marissa Meyer,279422,9626,115,4.42
855,The Bridges of Madison County,Robert James Waller,97114,9615,152,3.69
856,Exodus,Leon Uris,99168,9592,153,4.34
857,Gift from the Sea,Anne Morrow Lindbergh,51252,9591,137,4.15
858,Taming Flame,Therisa Peimer,6710,9578,101,4.32
859,Keeper of the Lost Cities,Shannon Messenger,78642,9572,105,4.42
860,Illusions: The Adventures of a Reluctant Messiah,Richard Bach,64038,9570,124,4.15
861,"Daughter of the Forest  (Sevenwaters, #1)",Juliet Marillier,65258,9543,115,4.28
862,"The Hunt for Red October (Jack Ryan, #3)",Tom Clancy,374606,9525,142,4.11
863,"Walking Disaster (Beautiful, #2)",Jamie McGuire,197801,9525,117,4.15
864,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,468526,9525,113,4.38
865,"Forrest Gump (Forrest Gump, #1)",Winston Groom,68549,9518,156,4.02
866,"Scythe (Arc of a Scythe, #1)",Neal Shusterman,314576,9505,104,4.33
867,The Sea of Tranquility,Katja Millay,86448,9468,109,4.29
868,Revolutionary Road,Richard Yates,88312,9436,124,3.92
869,Nausea,Jean-Paul Sartre,119338,9400,123,3.94
870,"The Awakening (Darkest Powers, #2)",Kelley Armstrong,115324,9390,126,4.14
871,"84, Charing Cross Road",Helene Hanff,83417,9374,137,4.16
872,Cold Sassy Tree,Olive Ann Burns,103256,9365,134,4.02
873,"Absalom, Absalom!",William Faulkner,44543,9285,121,3.98
874,"Kane & Abel (Kane & Abel, #1)",Jeffrey Archer,121963,9262,109,4.33
875,The Hotel New Hampshire,John Irving,65614,9260,132,3.93
876,"The Millennium Trilogy (Millennium Trilogy, #1-3)",Stieg Larsson,55519,9260,124,4.47
877,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,409822,9236,129,4.06
878,The Fall,Albert Camus,106530,9226,120,4.04
879,"The Reckoning (Darkest Powers, #3)",Kelley Armstrong,116457,9225,123,4.18
880,"Dreamfever (Fever, #4)",Karen Marie Moning,102132,9213,116,4.38
881,"Specials (Uglies, #3)",Scott Westerfeld,190733,9173,130,3.76
882,Shakespeare's Sonnets,William Shakespeare,104784,9172,148,4.25
883,Dark Places,Gillian Flynn,751452,9153,112,3.95
884,"The City of Ember (Book of Ember, #1)",Jeanne DuPrau,281753,9147,128,3.89
885,The Maltese Falcon,Dashiell Hammett,107018,9147,139,3.88
886,Between Shades of Gray,Ruta Sepetys,242792,9135,111,4.37
887,"A Study in Scarlet (Sherlock Holmes, #1)",Arthur Conan Doyle,444580,9115,138,4.14
888,The Sorrows of Young Werther,Johann Wolfgang von Goethe,131307,9106,115,3.69
889,Pericles and Aspasia: A Story of Ancient Greece,Yvonne Korshak,8641,9092,96,4.31
890,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,429585,9091,125,4.27
891,"Gabriel's Inferno (Gabriel's Inferno, #1)",Sylvain Reynard,158406,9058,106,3.98
892,"The Sparrow (The Sparrow, #1)",Mary Doria Russell,75560,9045,112,4.14
893,"Dead as a Doornail (Sookie Stackhouse, #5)",Charlaine Harris,217433,9043,133,4.01
894,"Reflected in You (Crossfire, #2)",Sylvia Day,350746,9037,111,4.3
895,Where the Heart Is,Billie Letts,248496,8959,138,4.03
896,A Million Little Pieces,James Frey,253039,8923,117,3.68
897,The Gargoyle,Andrew  Davidson,49098,8914,108,3.97
898,"Guilty Pleasures (Anita Blake, Vampire Hunter, #1)",Laurell K. Hamilton,148112,8901,121,4.02
899,A Moveable Feast,Ernest Hemingway,151157,8876,126,4.02
900,"Wizard and Glass (The Dark Tower, #4)",Stephen King,199292,8860,117,4.26
901,A Connecticut Yankee in King Arthur's Court,Mark Twain,103501,8852,138,3.77
902,"Opal (Lux, #3)",Jennifer L. Armentrout,151608,8832,114,4.25
903,"Definitely Dead (Sookie Stackhouse, #6)",Charlaine Harris,203998,8824,132,4.01
904,We,Yevgeny Zamyatin,97238,8819,112,3.89
905,"One Foot in the Grave (Night Huntress, #2)",Jeaniene Frost,104914,8793,112,4.29
906,A Room of One’s Own,Virginia Woolf,207371,8786,126,4.21
907,Christy,Catherine Marshall,54565,8786,133,4.24
908,"The Golden Lily (Bloodlines, #2)",Richelle Mead,118413,8776,118,4.31
909,"Lover Mine (Black Dagger Brotherhood, #8)",J.R. Ward,113148,8766,121,4.39
910,Turtles All the Way Down,John Green,564786,8743,100,3.89
911,The Pact,Jodi Picoult,308198,8742,117,4.03
912,"The Amulet of Samarkand (Bartimaeus, #1)",Jonathan Stroud,128281,8738,106,4.03
913,Deception Point,Dan       Brown,664773,8702,114,3.75
914,"Crank (Crank, #1)",Ellen Hopkins,145570,8690,110,4.16
915,Stoner,John  Williams,166285,8690,97,4.33
916,"Burned (House of Night, #7)",P.C. Cast,158390,8663,126,3.97
917,Journey to the End of the Night,Louis-Ferdinand Céline,42095,8652,102,4.19
918,The Fountainhead,Ayn Rand,323422,8634,107,3.88
919,The Story of Edgar Sawtelle,David Wroblewski,98783,8630,116,3.64
920,"Tai-Pan (Asian Saga, #2)",James Clavell,52947,8620,118,4.29
921,"Pandemonium (Delirium, #2)",Lauren Oliver,239184,8620,104,4.03
922,The Runaway Jury,John Grisham,303627,8604,133,4.02
923,"Onyx (Lux, #2)",Jennifer L. Armentrout,181603,8532,111,4.24
924,The Lucky One,Nicholas Sparks,361878,8521,116,4.12
925,Beach Music,Pat Conroy,50711,8518,119,4.18
926,The Midnight Library,Matt Haig,1768012,8518,101,4.0
927,The Bonfire of the Vanities,Tom Wolfe,80886,8510,132,3.9
928,The Turn of the Screw,Henry James,156038,8510,127,3.39
929,The Brief Wondrous Life of Oscar Wao,Junot Díaz,263655,8487,113,3.89
930,"Night World, No. 1 (Night World, #1-3)",L.J. Smith,64872,8473,110,4.06
931,Still Life with Woodpecker,Tom Robbins,80178,8466,114,4.04
932,Childhood’s End,Arthur C. Clarke,159421,8462,115,4.12
933,Valley of the Dolls,Jacqueline Susann,67796,8440,126,3.83
934,The Dead Zone,Stephen King,223135,8432,122,3.96
935,Sometimes a Great Notion,Ken Kesey,22472,8394,106,4.26
936,The Poetry of Robert Frost,Robert Frost,47846,8373,145,4.24
937,The Complete Persepolis,Marjane Satrapi,181379,8370,116,4.39
938,How Green Was My Valley,Richard Llewellyn,17419,8368,123,4.2
939,"Easy (Contours of the Heart, #1)",Tammara Webber,227302,8346,103,4.08
940,"All Together Dead (Sookie Stackhouse, #7)",Charlaine Harris,201097,8342,122,4.05
941,Animal Farm / 1984,George Orwell,198420,8310,131,4.3
942,Thus Spoke Zarathustra,Friedrich Nietzsche,151419,8310,101,4.07
943,The Immortal Life of Henrietta Lacks,Rebecca Skloot,735261,8304,112,4.12
944,The House of Mirth,Edith Wharton,97925,8298,119,3.97
945,"From Dead to Worse (Sookie Stackhouse, #8)",Charlaine Harris,188521,8281,121,4.01
946,The Bhagavad Gita,Krishna-Dwaipayana Vyasa,72088,8268,122,4.18
947,"The Wedding (The Notebook, #2)",Nicholas Sparks,160888,8256,110,3.99
948,"Hatchet (Brian's Saga, #1)",Gary Paulsen,393044,8254,118,3.78
949,Beauty: A Retelling of the Story of Beauty and the Beast,Robin McKinley,79895,8246,105,4.05
950,Safe Haven,Nicholas Sparks,382519,8246,108,4.22
951,"The Ruins of Gorlan (Ranger's Apprentice, #1)",John Flanagan,159230,8241,100,4.25
952,On Earth We're Briefly Gorgeous,Ocean Vuong,299798,8226,89,4.04
953,"Thoughtless (Thoughtless, #1)",S.C. Stephens,140277,8216,93,4.08
954,"The Mysterious Benedict Society (The Mysterious Benedict Society, #1)",Trenton Lee Stewart,161260,8214,101,4.2
955,On the Beach,Nevil Shute,44593,8207,124,3.97
956,"Breaking Dawn (The Twilight Saga, #4)",Stephenie Meyer,1707152,8196,111,3.74
957,"Lady Midnight (The Dark Artifices, #1)",Cassandra Clare,228078,8167,100,4.36
958,"Redwall (Redwall, #1)",Brian Jacques,119366,8156,117,4.14
959,"The Drawing of the Three (The Dark Tower, #2)",Stephen King,262114,8141,111,4.23
960,"Roll of Thunder, Hear My Cry (Logans, #4)",Mildred D. Taylor,124875,8139,115,3.89
961,"Dead and Gone (Sookie Stackhouse, #9)",Charlaine Harris,188516,8111,123,4.02
962,"Will Grayson, Will Grayson",John Green,397847,8085,97,3.7
963,"Passion (Fallen, #3)",Lauren Kate,168458,8076,113,3.86
964,White Noise,Don DeLillo,115143,8074,108,3.86
965,Helter Skelter: The True Story of the Manson Murders,Vincent Bugliosi,145906,8064,120,4.06
966,The Dispossessed: An Ambiguous Utopia,Ursula K. Le Guin,125055,8058,103,4.25
967,"Everything, Everything",Nicola Yoon,620747,8054,92,3.98
968,This Lullaby,Sarah Dessen,178680,8045,103,4.02
969,"Red Dragon (Hannibal Lecter, #1)",Thomas  Harris,333377,8004,113,4.06
970,Heartless,Marissa Meyer,199066,8001,88,4.09
971,"The Monarch's Ring (The Lost Artefacts, #2)",Johnathon Nicolaou,260,7988,82,4.48
972,The Rime of the Ancient Mariner,Samuel Taylor Coleridge,59091,7949,128,3.96
973,Light in August,William Faulkner,61913,7915,113,3.94
974,The Story of Ferdinand,Munro Leaf,92133,7898,118,4.37
975,"Faefever (Fever, #3)",Karen Marie Moning,103566,7896,102,4.29
976,"Bitten (Otherworld, #1)",Kelley Armstrong,102234,7885,99,4.03
977,Disgrace,J.M. Coetzee,106344,7826,112,3.85
978,Silas Marner,George Eliot,86989,7825,126,3.68
979,"The Awakening / The Struggle (The Vampire Diaries, #1-2)",L.J. Smith,90636,7797,106,3.68
980,"From Blood and Ash (Blood and Ash, #1)",Jennifer L. Armentrout,568094,7791,84,4.24
981,"Tiger's Curse (The Tiger Saga, #1)",Colleen Houck,64132,7778,92,4.05
982,"Fantasy Lover (Hunter Legends, #1)",Sherrilyn Kenyon,93000,7767,102,4.15
983,"Wings (Wings, #1)",Aprilynne Pike,80988,7766,98,3.76
984,Becoming,Michelle Obama,1047954,7762,87,4.46
985,A Doll's House,Henrik Ibsen,145125,7731,131,3.76
986,The Tempest,William Shakespeare,209856,7685,121,3.79
987,"All the Pretty Horses (The Border Trilogy, #1)",Cormac McCarthy,124024,7665,111,4.04
988,Running with Scissors,Augusten Burroughs,390646,7625,104,3.76
989,Project Hail Mary,Andy Weir,566084,7619,86,4.51
990,The Far Pavilions,M.M. Kaye,44005,7618,106,4.2
991,گم شده ای در مه,سید مرتضی مصطفوی,697,7587,77,3.78
992,"God Is the Cure, Love Is the Answer: A Memoir",Aimee Cabo Nikolov,17232,7587,81,4.3
993,"Hogfather (Discworld, #20; Death, #4)",Terry Pratchett,94423,7578,103,4.25
994,"These Is My Words: The Diary of Sarah Agnes Prine, 1881-1901, Arizona Territories (Sarah Agnes Prine, #1)",Nancy E. Turner,74713,7572,91,4.35
995,"Every Day (Every Day, #1)",David Levithan,233779,7569,88,3.9
996,The Horse Whisperer,Nicholas Evans,58616,7537,119,3.85
997,The Guardian,Nicholas Sparks,182716,7526,105,4.16
998,Songs of Innocence and of Experience,William Blake,48868,7520,117,4.09
999,"The Last of the Mohicans (The Leatherstocking Tales, #2)",James Fenimore Cooper,97950,7518,122,3.7
