,Book_Name,Author,Rating,Score,Votes,Average_Rating
119,Looking for Alaska,John Green,1599375,158228,1732,3.97
120,The Adventures of Tom Sawyer,Mark Twain,936353,157535,1940,3.92
121,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,851469,156992,1880,4.16
122,The Very Hungry Caterpillar,Eric Carle,510355,156590,1820,4.33
123,The Count of Monte Cristo,Alexandre Dumas,913780,156219,1783,4.3
124,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,1003089,154913,1761,4.55
125,The Curious Incident of the Dog in the Night-Time,Mark Haddon,1479059,152103,1750,3.89
126,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,635573,151565,1678,4.3
127,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,2799004,149386,1836,4.24
128,Tuesdays with Morrie,Mitch Albom,1027470,149020,1702,4.17
129,The Unbearable Lightness of Being,Milan Kundera,469656,146629,1646,4.11
130,On the Road,Jack Kerouac,411267,145991,1661,3.61
131,The Name of the Rose,Umberto Eco,364682,144539,1678,4.14
132,"The Godfather (The Godfather, #1)",Mario Puzo,420548,141633,1668,4.39
133,Where the Red Fern Grows,Wilson Rawls,406615,141547,1647,4.11
134,"Holes (Holes, #1)",Louis Sachar,1199715,139726,1656,4.0
135,In Cold Blood,Truman Capote,659424,138845,1645,4.09
136,Perfume: The Story of a Murderer,Patrick Süskind,468568,137416,1560,4.04
137,The Scarlet Letter,Nathaniel Hawthorne,865350,137090,1702,3.43
138,Fight Club,Chuck Palahniuk,591777,134947,1556,4.19
139,The Five People You Meet in Heaven,Mitch Albom,720534,132751,1526,3.99
140,American Gods,Neil Gaiman,925318,131254,1490,4.11
141,The Divine Comedy,Dante Alighieri,152638,129323,1526,4.08
142,"The Cat in the Hat (The Cat in the Hat, #1)",Dr. Seuss,540784,129278,1596,4.19
143,Watchmen,Alan Moore,558146,129209,1462,4.38
144,All Quiet on the Western Front,Erich Maria Remarque,460079,127194,1486,4.07
145,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,704684,127082,1406,3.93
146,"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,152994,126622,1498,4.35
